RID,|PROBLEM (given value || received value)|
8,no state
8,no state
13,|city doesn't match: larkspur || corte madera|
44,no state
44,no state
48,no state
48,no state
63,could not match zipcode: 94113
65,could not match zipcode: 8000
74,no state
74,no state
99,no state
99,no state
107,|state doesn't match:    || tx|
107,|state doesn't match:    || tx|
109,no state
109,no state
115,could not match zipcode: 9495
140,no state
140,no state
143,|city doesn't match: seattle || kirkland|
161,could not match zipcode: 94113
239,|city doesn't match: des moines || seattle|
303,could not match zipcode: 00000
313,no state
313,no state
322,|zipcode doesn't match: 98034-4206 || 98034|
365,|city doesn't match: san francisco || newark|
376,|zipcode doesn't match: 94133-2802 || 94133|
404,|city doesn't match: sonoma || glen ellen|
415,|city doesn't match: beverly farms || beverly|
421,|city doesn't match: new york || staten island|
427,|zipcode doesn't match: 77024-1002 || 77024|
436,|city doesn't match: northfield || winnetka|
438,no state
438,no state
470,could not match zipcode: 123456
491,no state
491,no state
501,|zipcode doesn't match: 94925-1226 || 94925|
508,|city doesn't match: bel air || los angeles|
529,|city doesn't match: north lake || bellwood|
567,|city doesn't match: coral gables || miami|
580,|city doesn't match: vancover || vancouver|
581,|city doesn't match: portland || beaverton|
587,could not match zipcode: 30000
589,|zipcode doesn't match: 98188-4001 || 98188|
599,|city doesn't match: mclean || mc lean|
600,no state
600,no state
618,no state
618,no state
643,|city doesn't match: manayunk || philadelphia|
647,no state
647,no state
654,|city doesn't match: miami || miami beach|
658,|city doesn't match: ft. lauderdale || fort lauderdale|
704,|zipcode doesn't match: 94304-1502 || 94304|
723,no state
723,no state
738,could not match zipcode: 000000
744,no state
744,no state
747,|city doesn't match: west hollywood || los angeles|
761,no state
761,no state
774,|city doesn't match: hermosa beach || redondo beach|
808,could not match zipcode: 00000
815,no state
815,no state
816,|city doesn't match: skokie || elk grove village|
843,|city doesn't match: yardley || morrisville|
866,no state
866,no state
867,|city doesn't match: bel-air || los angeles|
876,|city doesn't match: yountville || napa|
893,|city doesn't match: georgetown || washington|
897,|city doesn't match: new york || syosset|
899,|city doesn't match: north brook || chicago|
915,|city doesn't match: los angeles || beverly hills|
917,|zipcode doesn't match: 20006-1812 || 20006|
925,|city doesn't match: st. helena || saint helena|
936,|city doesn't match: melrose park || chicago|
992,could not match zipcode: 30335
1000,could not match zipcode: 94000
1009,|city doesn't match: issaquah || seattle|
1059,|city doesn't match: west hollywood || los angeles|
1111,|city doesn't match: rosemont || des plaines|
1117,zipcode couldn't be parsed: O8942
1128,|city doesn't match: la jolla || san diego|
1135,|city doesn't match: radnor || wayne|
1154,|city doesn't match: hamilton || trenton|
1175,|city doesn't match: st. james || saint james|
1176,|city doesn't match: ft. lauderdale || fort lauderdale|
1181,could not match zipcode: 00000
1186,no state
1186,no state
1213,|city doesn't match: rosemont || des plaines|
1227,|city doesn't match: newton || newton highlands|
1258,could not match zipcode: 00000
1341,|city doesn't match: west conshohocken || conshohocken|
1343,|city doesn't match: st. helena || saint helena|
1349,|city doesn't match: beaver creek || avon|
1351,|city doesn't match: beaver creek || avon|
1354,could not match zipcode: 22231
1373,|city doesn't match: beaver creek || avon|
1393,|city doesn't match: carmel || carmel by the sea|
1396,|city doesn't match: hollywood || los angeles|
1406,|city doesn't match: pacific cove || pacific grove|
1464,|city doesn't match: newton || auburndale|
1465,|city doesn't match: beaver creek || avon|
1466,|city doesn't match: beaver creek || avon|
1469,no state
1469,no state
1488,|city doesn't match: miami || miami beach|
1490,|city doesn't match: south beach || miami beach|
1516,|city doesn't match: woodside || redwood city|
1531,|city doesn't match: hagerstown || college park|
1539,|city doesn't match: gold river || rancho cordova|
1578,|city doesn't match: san diego || la jolla|
1592,|city doesn't match: carmel-by-the-sea || carmel by the sea|
1593,|zipcode doesn't match: 93921-4917 || 93921|
